customer_id,age,gender,marital_status,dependents,income_bracket,employment_status,education_level
CUST_000001,50,M,Single,0,Low,Retired,Bachelor
CUST_000002,43,M,Married,1,Medium,Employed,Master
CUST_000003,52,M,Widowed,2,Low,Employed,HighSchool
CUST_000004,63,M,Married,2,Medium,Employed,PhD
CUST_000005,42,F,Married,2,High,Employed,HighSchool
CUST_000006,42,M,Married,2,Medium,Employed,Bachelor
CUST_000007,63,M,Married,0,Medium,Employed,HighSchool
CUST_000008,54,F,Married,2,Low,Self-employed,Master
CUST_000009,39,M,Married,1,High,Employed,Master
CUST_000010,51,F,Married,5,Low,Employed,Bachelor
CUST_000011,39,F,Married,1,High,Retired,Bachelor
CUST_000012,39,M,Married,1,Medium,Employed,Master
CUST_000013,47,F,Divorced,2,Medium,Retired,Master
CUST_000014,25,F,Single,2,Medium,Employed,Bachelor
CUST_000015,25,M,Divorced,3,High,Employed,Master
CUST_000016,38,M,Married,2,Medium,Employed,Bachelor
CUST_000017,32,F,Married,1,Medium,Retired,Bachelor
CUST_000018,48,F,Divorced,2,Low,Employed,Bachelor
CUST_000019,34,F,Married,1,Medium,Self-employed,Bachelor
CUST_000020,28,M,Single,2,High,Employed,Bachelor
CUST_000021,62,F,Single,0,Medium,Employed,Bachelor
CUST_000022,42,M,Married,2,Medium,Employed,Bachelor
CUST_000023,45,F,Married,2,High,Employed,Master
CUST_000024,27,F,Widowed,0,Low,Retired,Bachelor
CUST_000025,38,M,Married,1,High,Retired,Bachelor
CUST_000026,46,F,Divorced,4,VeryHigh,Employed,HighSchool
CUST_000027,31,F,Married,2,Medium,Employed,Bachelor
CUST_000028,49,F,Divorced,1,High,Self-employed,HighSchool
CUST_000029,37,M,Single,2,Low,Self-employed,Bachelor
CUST_000030,41,F,Divorced,1,Medium,Employed,Master
CUST_000031,37,F,Married,3,Medium,Employed,Bachelor
CUST_000032,67,M,Divorced,4,High,Self-employed,Bachelor
CUST_000033,44,M,Single,4,Medium,Employed,Bachelor
CUST_000034,32,M,Married,1,Medium,Employed,Bachelor
CUST_000035,54,F,Married,2,Medium,Employed,Bachelor
CUST_000036,30,F,Widowed,6,High,Employed,Master
CUST_000037,47,M,Married,5,Low,Employed,Master
CUST_000038,25,F,Married,3,Medium,Employed,Bachelor
CUST_000039,29,M,Married,3,Medium,Employed,HighSchool
CUST_000040,47,F,Married,1,Low,Self-employed,HighSchool
CUST_000041,53,M,Single,1,Medium,Employed,Bachelor
CUST_000042,47,M,Single,0,Medium,Employed,Bachelor
CUST_000043,43,M,Single,0,Medium,Self-employed,HighSchool
CUST_000044,41,M,Married,4,Medium,Employed,Bachelor
CUST_000045,27,F,Divorced,1,High,Employed,HighSchool
CUST_000046,36,F,Divorced,1,High,Retired,HighSchool
CUST_000047,39,M,Single,1,Low,Employed,Bachelor
CUST_000048,57,M,Single,0,Low,Employed,PhD
CUST_000049,49,M,Single,0,Medium,Employed,HighSchool
CUST_000050,25,F,Married,2,Medium,Employed,Bachelor
CUST_000051,48,F,Single,1,Low,Self-employed,Bachelor
CUST_000052,40,M,Married,4,High,Employed,HighSchool
CUST_000053,36,F,Married,0,Medium,Employed,HighSchool
CUST_000054,52,M,Married,0,High,Employed,HighSchool
CUST_000055,57,F,Married,2,Medium,Self-employed,Master
CUST_000056,56,F,Married,0,Medium,Self-employed,Bachelor
CUST_000057,34,F,Married,1,High,Employed,HighSchool
CUST_000058,41,F,Divorced,3,Medium,Employed,HighSchool
CUST_000059,48,F,Married,1,Medium,Self-employed,Bachelor
CUST_000060,56,F,Single,2,Low,Employed,Bachelor
CUST_000061,39,F,Married,1,Medium,Employed,HighSchool
CUST_000062,42,M,Single,1,High,Retired,Bachelor
CUST_000063,31,M,Married,1,Low,Self-employed,HighSchool
CUST_000064,30,M,Single,1,High,Employed,HighSchool
CUST_000065,54,F,Married,0,High,Employed,Bachelor
CUST_000066,61,M,Single,3,Medium,Employed,Bachelor
CUST_000067,44,M,Married,2,Medium,Employed,Bachelor
CUST_000068,57,M,Single,0,VeryHigh,Self-employed,Bachelor
CUST_000069,49,M,Married,1,Low,Self-employed,PhD
CUST_000070,37,F,Single,5,Medium,Retired,Bachelor
CUST_000071,49,F,Single,1,High,Employed,Master
CUST_000072,63,F,Divorced,2,Medium,Self-employed,Master
CUST_000073,44,F,Married,0,High,Employed,Master
CUST_000074,63,F,Single,1,Medium,Employed,HighSchool
CUST_000075,25,M,Married,2,High,Employed,Bachelor
CUST_000076,54,M,Married,1,High,Employed,HighSchool
CUST_000077,46,F,Married,3,Medium,Employed,Bachelor
CUST_000078,41,M,Married,2,Medium,Employed,HighSchool
CUST_000079,46,M,Divorced,0,Medium,Employed,HighSchool
CUST_000080,25,F,Single,1,Low,Employed,Master
