customer_id,last_login_date,login_frequency_30d,mobile_app_user,email_opens_6m,customer_service_calls_12m,complaints_filed
CUST_000001,2023-09-25,0,Yes,0.54,1,0
CUST_000002,2023-08-12,3,No,0.58,2,0
CUST_000003,2023-08-21,2,Yes,0.21,0,0
CUST_000004,2023-12-17,0,No,0.33,1,0
CUST_000005,2023-11-22,5,Yes,0.69,1,0
CUST_000006,2023-03-01,1,No,0.4,0,0
CUST_000007,2023-11-14,0,Yes,0.1,5,2
CUST_000008,2023-01-22,1,No,0.55,0,0
CUST_000009,2023-05-07,1,No,0.26,7,0
CUST_000010,2022-08-24,1,Yes,0.7,0,0
CUST_000011,2023-05-05,2,No,0.4,1,1
CUST_000012,2023-12-22,1,No,0.14,3,0
CUST_000013,2023-08-30,3,Yes,0.46,0,0
CUST_000014,2023-12-23,1,Yes,0.75,1,0
CUST_000015,2022-12-29,2,No,0.46,1,0
CUST_000016,2023-11-07,1,Yes,0.36,0,0
CUST_000017,2023-10-25,2,Yes,0.51,1,0
CUST_000018,2023-09-22,1,No,0.65,2,0
CUST_000019,2023-11-08,3,No,0.2,4,5
CUST_000020,2023-12-31,2,Yes,0.44,0,0
CUST_000021,2023-10-09,0,No,0.5,0,0
CUST_000022,2023-10-23,0,No,0.12,2,1
CUST_000023,2023-09-09,1,No,0.47,0,0
CUST_000024,2023-11-19,3,Yes,0.62,1,0
CUST_000025,2022-09-21,0,No,0.51,2,0
CUST_000026,2023-09-20,2,No,0.25,0,0
CUST_000027,2023-10-05,1,No,0.81,4,0
CUST_000028,2023-06-24,0,No,0.47,0,0
CUST_000029,2023-09-25,2,No,0.34,3,0
CUST_000030,2023-10-07,5,No,0.33,0,0
CUST_000031,2023-06-16,0,No,0.4,0,0
CUST_000032,2023-10-12,1,No,0.61,0,0
CUST_000033,2023-10-18,1,No,0.39,2,0
CUST_000034,2023-09-30,1,No,0.34,0,0
CUST_000035,2023-10-10,0,Yes,0.61,0,0
CUST_000036,2023-09-27,1,Yes,0.48,0,0
CUST_000037,2022-12-23,3,Yes,0.38,0,0
CUST_000038,2023-11-20,4,No,0.61,0,0
CUST_000039,2023-11-03,0,Yes,0.43,1,0
CUST_000040,2023-06-13,5,No,0.42,0,0
CUST_000041,2023-08-19,0,No,0.1,2,2
CUST_000042,2023-08-12,1,Yes,0.66,1,0
CUST_000043,2023-08-11,3,Yes,0.63,0,0
CUST_000044,2023-08-08,0,No,0.14,2,1
CUST_000045,2022-06-10,0,No,0.03,0,0
CUST_000046,2023-04-05,1,No,0.58,1,0
CUST_000047,2022-11-23,3,Yes,0.48,1,0
CUST_000048,2023-10-02,0,No,0.87,0,1
CUST_000049,2023-03-18,2,No,0.35,0,0
CUST_000050,2023-01-30,2,Yes,0.41,1,0
CUST_000051,2022-11-05,3,Yes,0.48,0,0
CUST_000052,2023-12-04,2,No,0.55,0,0
CUST_000053,2023-11-18,0,No,0.68,2,0
CUST_000054,2024-01-01,3,No,0.5,0,0
CUST_000055,2023-12-13,2,No,0.73,0,1
CUST_000056,2023-11-04,2,No,0.27,0,0
CUST_000057,2023-05-02,0,No,0.02,2,0
CUST_000058,2022-10-02,0,Yes,0.6,0,0
CUST_000059,2023-07-08,0,No,0.25,2,0
CUST_000060,2023-01-25,3,Yes,0.56,0,0
CUST_000061,2023-04-26,0,No,0.16,1,1
CUST_000062,2022-08-28,1,No,0.24,4,1
CUST_000063,2023-08-22,4,Yes,0.61,1,0
CUST_000064,2023-11-30,2,No,0.42,1,0
CUST_000065,2023-11-22,2,Yes,0.52,1,0
CUST_000066,2023-06-16,3,No,0.57,0,0
CUST_000067,2022-05-14,0,Yes,0.14,3,0
CUST_000068,2023-09-12,3,No,0.14,3,1
CUST_000069,2023-07-31,1,Yes,0.51,1,0
CUST_000070,2023-04-14,1,No,0.33,1,0
CUST_000071,2023-03-08,3,No,0.57,0,0
CUST_000072,2023-09-26,1,Yes,0.59,0,0
CUST_000073,2023-04-28,3,No,0.53,2,1
CUST_000074,2022-10-27,3,No,0.24,2,1
CUST_000075,2023-08-17,2,Yes,0.81,1,0
CUST_000076,2023-10-30,2,Yes,0.32,1,0
CUST_000077,2023-11-19,1,No,0.45,1,0
CUST_000078,2023-06-12,1,No,0.34,0,0
CUST_000079,2023-10-02,1,No,0.31,1,0
CUST_000080,2023-10-02,0,No,0.55,2,0
CUST_000081,2023-05-02,0,No,0.34,4,2
CUST_000082,2023-06-20,3,No,0.32,0,0
CUST_000083,2023-10-13,1,No,0.4,1,0
CUST_000084,2023-12-30,2,Yes,0.55,3,0
CUST_000085,2023-11-06,0,No,0.36,2,0
CUST_000086,2023-08-21,3,No,0.49,0,0
CUST_000087,2023-05-11,2,No,0.6,1,0
CUST_000088,2023-09-26,2,No,0.39,0,1
CUST_000089,2023-11-11,3,No,0.44,0,0
CUST_000090,2022-07-11,3,No,0.43,1,0
CUST_000091,2023-10-10,2,Yes,0.5,0,0
CUST_000092,2023-04-13,1,No,0.11,0,0
CUST_000093,2023-02-24,0,Yes,0.41,0,0
CUST_000094,2023-09-13,1,No,0.69,2,0
CUST_000095,2023-12-24,2,Yes,0.17,2,0
CUST_000096,2022-11-15,2,Yes,0.46,1,0
CUST_000097,2023-06-22,1,No,0.4,1,0
CUST_000098,2023-01-31,2,No,0.42,1,0
CUST_000099,2023-10-27,1,No,0.3,0,0
CUST_000100,2023-11-26,1,Yes,0.29,0,0
CUST_000101,2022-08-24,4,Yes,0.49,0,0
CUST_000102,2023-02-12,2,No,0.44,0,0
CUST_000103,2023-06-08,1,No,0.25,3,0
CUST_000104,2022-10-15,6,Yes,0.32,2,0
CUST_000105,2023-07-13,2,No,0.4,1,0
CUST_000106,2023-05-05,2,Yes,0.67,0,0
CUST_000107,2023-08-14,2,Yes,0.27,2,0
CUST_000108,2023-11-06,2,Yes,0.44,2,0
CUST_000109,2023-11-25,0,Yes,0.42,0,1
CUST_000110,2023-07-26,1,No,0.09,3,1
CUST_000111,2022-08-25,4,No,0.38,1,0
CUST_000112,2023-01-28,0,Yes,0.86,1,1
CUST_000113,2023-10-13,3,Yes,0.65,0,0
CUST_000114,2022-12-07,4,No,0.46,1,1
CUST_000115,2023-11-12,2,No,0.58,0,0
CUST_000116,2023-12-06,3,No,0.41,0,0
CUST_000117,2023-01-08,2,Yes,0.48,0,0
CUST_000118,2022-06-24,0,No,0.33,1,0
CUST_000119,2023-10-24,3,No,0.66,2,1
CUST_000120,2023-07-19,3,Yes,0.77,3,0
CUST_000121,2023-10-10,3,No,0.5,0,0
CUST_000122,2022-08-14,0,Yes,0.58,0,0
CUST_000123,2023-03-06,3,No,0.51,2,0
CUST_000124,2023-05-11,3,Yes,0.46,0,0
CUST_000125,2023-04-06,2,Yes,0.5,0,1
CUST_000126,2023-09-21,4,No,0.25,0,0
CUST_000127,2023-11-22,3,Yes,0.47,1,0
CUST_000128,2023-12-11,2,Yes,0.72,1,0
CUST_000129,2023-10-25,0,No,0.1,3,2
CUST_000130,2023-11-22,3,Yes,0.21,1,0
CUST_000131,2023-07-23,2,Yes,0.54,0,0
CUST_000132,2022-09-15,1,Yes,0.39,1,0
CUST_000133,2023-09-19,0,No,0.44,0,0
CUST_000134,2023-09-08,2,No,0.35,0,1
CUST_000135,2023-03-09,3,No,0.22,1,0
CUST_000136,2023-08-18,3,No,0.43,0,0
CUST_000137,2023-06-11,1,No,0.63,1,1
CUST_000138,2023-11-25,2,Yes,0.7,1,0
CUST_000139,2023-09-24,1,Yes,0.51,2,0
CUST_000140,2023-10-27,0,No,0.33,3,0
CUST_000141,2023-12-04,0,No,0.13,4,2
CUST_000142,2023-09-23,1,No,0.72,2,0
CUST_000143,2023-03-22,3,No,0.69,0,0
CUST_000144,2022-09-08,3,Yes,0.42,0,0
CUST_000145,2023-12-02,2,No,0.65,0,0
CUST_000146,2023-11-14,2,No,0.14,3,0
CUST_000147,2023-06-09,4,No,0.5,0,0
CUST_000148,2023-10-09,1,No,0.46,1,0
CUST_000149,2022-08-31,2,No,0.67,1,0
CUST_000150,2023-11-17,0,No,0.17,0,0
CUST_000151,2023-07-03,3,No,0.42,0,0
CUST_000152,2022-09-03,7,No,0.6,1,1
CUST_000153,2023-03-11,2,No,0.63,1,0
CUST_000154,2023-03-21,3,Yes,0.3,1,1
CUST_000155,2023-01-22,2,Yes,0.6,1,0
CUST_000156,2023-12-21,2,No,0.43,0,0
CUST_000157,2023-04-11,2,No,0.41,0,0
CUST_000158,2023-06-16,3,No,0.48,0,0
CUST_000159,2023-04-26,2,No,0.59,0,0
CUST_000160,2023-11-08,6,No,0.36,2,0
CUST_000161,2023-05-20,4,No,0.58,3,0
CUST_000162,2023-11-05,0,Yes,0.69,0,0
CUST_000163,2023-10-25,1,Yes,0.81,1,0
CUST_000164,2023-08-27,1,No,0.65,2,0
CUST_000165,2023-11-02,1,No,0.08,2,0
CUST_000166,2023-11-28,2,No,0.53,3,0
CUST_000167,2023-03-13,3,No,0.4,2,0
CUST_000168,2023-02-12,1,Yes,0.59,0,0
CUST_000169,2023-03-10,1,No,0.33,2,2
CUST_000170,2022-03-16,0,No,0.64,1,0
CUST_000171,2023-12-18,1,No,0.52,0,0
CUST_000172,2022-12-28,0,Yes,0.34,0,1
CUST_000173,2023-09-27,1,No,0.23,1,1
CUST_000174,2022-09-06,1,No,0.41,0,0
CUST_000175,2023-05-30,4,No,0.42,0,1
CUST_000176,2023-12-21,0,No,0.52,0,0
CUST_000177,2023-10-01,2,Yes,0.28,0,0
CUST_000178,2023-11-18,1,Yes,0.27,1,0
CUST_000179,2023-10-04,2,Yes,0.44,2,0
CUST_000180,2023-06-22,3,No,0.48,1,0
CUST_000181,2022-11-16,4,Yes,0.5,0,0
CUST_000182,2023-07-13,0,Yes,0.46,1,0
CUST_000183,2023-06-02,2,No,0.51,4,0
CUST_000184,2023-03-15,2,No,0.35,0,0
CUST_000185,2023-03-18,0,No,0.6,1,0
CUST_000186,2023-08-04,1,Yes,0.55,0,0
CUST_000187,2023-12-11,1,Yes,0.51,1,0
CUST_000188,2023-09-08,2,No,0.51,1,0
CUST_000189,2023-12-11,2,No,0.43,1,0
CUST_000190,2023-11-10,0,No,0.13,5,0
CUST_000191,2023-04-30,0,No,0.44,2,0
CUST_000192,2023-05-24,0,No,0.64,0,0
CUST_000193,2023-02-07,2,No,0.5,1,0
CUST_000194,2023-10-08,1,No,0.43,1,1
CUST_000195,2023-12-25,4,No,0.61,1,0
CUST_000196,2023-05-07,2,No,0.54,1,0
CUST_000197,2023-11-05,2,No,0.34,0,0
CUST_000198,2023-05-26,2,Yes,0.44,1,1
CUST_000199,2023-08-31,1,Yes,0.61,1,0
CUST_000200,2023-02-15,1,Yes,0.56,3,0
CUST_000201,2023-09-09,0,Yes,0.23,1,0
CUST_000202,2023-06-14,3,No,0.79,3,0
CUST_000203,2023-06-12,2,Yes,0.33,1,0
CUST_000204,2023-11-27,2,Yes,0.31,1,0
CUST_000205,2023-01-04,1,Yes,0.85,0,0
CUST_000206,2023-12-11,0,No,0.42,1,0
CUST_000207,2022-08-23,4,Yes,0.58,0,0
CUST_000208,2023-09-21,1,Yes,0.51,0,0
CUST_000209,2023-07-24,0,No,0.48,2,0
CUST_000210,2023-02-10,2,No,0.56,1,0
CUST_000211,2023-09-27,4,Yes,0.36,0,0
CUST_000212,2023-09-16,1,No,0.14,1,0
