customer_id,age,gender,marital_status,dependents,income_bracket,employment_status,education_level,last_login_date,login_frequency_30d,mobile_app_user,email_opens_6m,customer_service_calls_12m,complaints_filed,churned,churn_date,churn_reason,policy_type,policy_start_date,policy_amount,premium_amount,premium_frequency,payment_method,riders,days_between_policy_last_login,days_between_policy_churn,churn_behavior
CUST_000001,50,M,Single,0,Low,Retired,Bachelor,2023-09-25,0,Yes,0.54,1,0,0,,,Term,2022-04-21,100000,23.33,Monthly,Manual,0,522,,Not Returning
CUST_000002,43,M,Married,1,Medium,Employed,Master,2023-08-12,3,No,0.58,2,0,0,,,Whole,2023-05-18,200000,42.0,Monthly,AutoPay,0,86,,Not Returning
CUST_000003,52,M,Widowed,2,Low,Employed,HighSchool,2023-08-21,2,Yes,0.21,0,0,0,,,Term,2023-03-31,50000,12.0,Monthly,AutoPay,0,143,,Not Returning
CUST_000004,63,M,Married,2,Medium,Employed,PhD,2023-12-17,0,No,0.33,1,0,0,,,Whole,2022-03-17,100000,27.67,Monthly,AutoPay,1,640,,Not Returning
CUST_000005,42,F,Married,2,High,Employed,HighSchool,2023-11-22,5,Yes,0.69,1,0,0,,,Whole,2022-03-24,300000,62.0,Monthly,AutoPay,0,608,,Not Returning
CUST_000006,42,M,Married,2,Medium,Employed,Bachelor,2023-03-01,1,No,0.4,0,0,0,,,Term,2022-11-26,200000,41.33,Monthly,AutoPay,1,95,,Not Returning
CUST_000007,63,M,Married,0,Medium,Employed,HighSchool,2023-11-14,0,Yes,0.1,5,2,1,2023-12-23,Financial,Term,2023-09-15,200000,55.33,Monthly,Manual,0,60,99.0,Possibly Churn
CUST_000008,54,F,Married,2,Low,Self-employed,Master,2023-01-22,1,No,0.55,0,0,0,,,Term,2022-06-01,50000,12.33,Monthly,AutoPay,0,235,,Not Returning
CUST_000009,39,M,Married,1,High,Employed,Master,2023-05-07,1,No,0.26,7,0,1,2023-10-17,Financial,Term,2022-03-09,450000,88.5,Quarterly,AutoPay,1,424,587.0,Possibly Churn
CUST_000010,51,F,Married,5,Low,Employed,Bachelor,2022-08-24,1,Yes,0.7,0,0,0,,,Universal,2022-05-10,150000,35.5,Monthly,AutoPay,0,106,,Not Returning
CUST_000011,39,F,Married,1,High,Retired,Bachelor,2023-05-05,2,No,0.4,1,1,0,,,Term,2022-10-09,550000,108.17,Quarterly,Manual,1,208,,Not Returning
CUST_000012,39,M,Married,1,Medium,Employed,Master,2023-12-22,1,No,0.14,3,0,1,2023-10-06,Financial,Term,2023-10-02,150000,29.5,Monthly,Manual,0,81,4.0,Possibly Returning
