customer_id,policy_type,policy_start_date,policy_amount,premium_amount,premium_frequency,payment_method,riders
CUST_000001,Term,2022-04-21,100000,23.33,Monthly,Manual,0
CUST_000002,Whole,2023-05-18,200000,42.0,Monthly,AutoPay,0
CUST_000003,Term,2023-03-31,50000,12.0,Monthly,AutoPay,0
CUST_000004,Whole,2022-03-17,100000,27.67,Monthly,AutoPay,1
CUST_000005,Whole,2022-03-24,300000,62.0,Monthly,AutoPay,0
CUST_000006,Term,2022-11-26,200000,41.33,Monthly,AutoPay,1
CUST_000007,Term,2023-09-15,200000,55.33,Monthly,Manual,0
CUST_000008,Term,2022-06-01,50000,12.33,Monthly,AutoPay,0
CUST_000009,Term,2022-03-09,450000,88.5,Quarterly,AutoPay,1
CUST_000010,Universal,2022-05-10,150000,35.5,Monthly,AutoPay,0
CUST_000011,Term,2022-10-09,550000,108.17,Quarterly,Manual,1
CUST_000012,Term,2023-10-02,150000,29.5,Monthly,Manual,0
CUST_000013,Term,2023-08-23,150000,33.5,Monthly,AutoPay,0
CUST_000014,Term,2023-07-16,200000,30.0,Annual,Manual,0
CUST_000015,Universal,2022-11-29,350000,52.5,Monthly,AutoPay,2
CUST_000016,Whole,2023-01-26,300000,58.0,Monthly,Manual,1
CUST_000017,Term,2023-09-04,150000,26.0,Monthly,AutoPay,0
CUST_000018,Term,2023-06-28,50000,11.33,Monthly,Manual,0
CUST_000019,Term,2022-10-29,250000,45.0,Quarterly,AutoPay,0
CUST_000020,Whole,2023-04-10,650000,104.0,Monthly,Manual,1
CUST_000021,Universal,2023-06-02,300000,82.0,Monthly,AutoPay,0
CUST_000022,Whole,2023-09-12,250000,51.67,Monthly,Manual,2
CUST_000023,Whole,2023-03-17,400000,86.67,Monthly,AutoPay,0
CUST_000024,Term,2022-04-12,150000,23.5,Monthly,Manual,0
CUST_000025,Term,2022-04-28,700000,135.33,Monthly,AutoPay,0
CUST_000026,Term,2023-07-19,1750000,385.0,Monthly,AutoPay,0
CUST_000027,Term,2022-08-09,200000,34.0,Monthly,Manual,1
CUST_000028,Whole,2023-03-17,600000,138.0,Monthly,AutoPay,1
CUST_000029,Whole,2023-04-08,150000,28.5,Monthly,AutoPay,1
CUST_000030,Term,2022-08-22,250000,50.83,Monthly,AutoPay,1
CUST_000031,Term,2023-02-28,150000,28.5,Quarterly,AutoPay,0
CUST_000032,Term,2022-12-14,300000,87.0,Quarterly,AutoPay,1
CUST_000033,Whole,2023-04-10,100000,21.33,Monthly,Manual,1
CUST_000034,Term,2023-02-13,200000,34.67,Monthly,AutoPay,1
CUST_000035,Term,2023-03-02,200000,49.33,Monthly,AutoPay,1
CUST_000036,Whole,2022-04-08,350000,58.33,Monthly,AutoPay,3
CUST_000037,Term,2022-11-17,50000,11.17,Quarterly,AutoPay,2
CUST_000038,Whole,2023-03-14,100000,15.0,Monthly,AutoPay,0
CUST_000039,Universal,2022-11-17,150000,24.5,Monthly,Manual,0
CUST_000040,Whole,2022-09-19,100000,22.33,Monthly,AutoPay,0
CUST_000041,Term,2023-01-19,250000,60.83,Monthly,Manual,1
CUST_000042,Term,2022-06-06,300000,67.0,Annual,AutoPay,0
CUST_000043,Term,2023-05-01,200000,42.0,Quarterly,AutoPay,0
CUST_000044,Term,2022-03-10,150000,30.5,Monthly,Manual,1
CUST_000045,Term,2022-04-04,600000,94.0,Monthly,Manual,0
CUST_000046,Term,2022-03-29,700000,130.67,Quarterly,Manual,0
CUST_000047,Term,2022-04-06,50000,9.83,Quarterly,AutoPay,1
CUST_000048,Whole,2023-03-19,150000,38.5,Monthly,Manual,0
CUST_000049,Whole,2022-04-09,250000,57.5,Annual,AutoPay,1
CUST_000050,Whole,2023-01-17,150000,22.5,Monthly,AutoPay,0
CUST_000051,Term,2022-05-14,100000,22.67,Monthly,AutoPay,0
CUST_000052,Term,2023-07-24,450000,90.0,Annual,AutoPay,1
CUST_000053,Term,2022-03-03,150000,28.0,Annual,AutoPay,0
CUST_000054,Term,2023-08-24,500000,120.0,Quarterly,Manual,0
CUST_000055,Term,2023-07-30,250000,64.17,Quarterly,AutoPay,1
CUST_000056,Term,2023-07-30,100000,25.33,Monthly,AutoPay,0
CUST_000057,Term,2022-12-04,700000,126.0,Monthly,AutoPay,1
CUST_000058,Term,2022-05-06,100000,20.33,Monthly,AutoPay,0
CUST_000059,Term,2023-02-25,200000,45.33,Monthly,AutoPay,0
CUST_000060,Universal,2022-12-29,50000,12.67,Monthly,AutoPay,0
CUST_000061,Whole,2023-03-10,250000,49.17,Monthly,AutoPay,0
CUST_000062,Term,2022-02-22,300000,62.0,Monthly,AutoPay,0
CUST_000063,Term,2022-10-22,150000,25.5,Monthly,Manual,0
CUST_000064,Term,2023-09-07,700000,116.67,Monthly,Manual,0
CUST_000065,Term,2022-11-16,450000,111.0,Monthly,AutoPay,0
CUST_000066,Term,2022-12-27,300000,81.0,Monthly,AutoPay,0
CUST_000067,Universal,2022-04-17,200000,42.67,Monthly,Manual,0
CUST_000068,Whole,2023-08-15,1200000,308.0,Monthly,Manual,0
CUST_000069,Term,2023-06-04,100000,23.0,Quarterly,AutoPay,1
CUST_000070,Term,2022-08-06,200000,38.0,Monthly,AutoPay,1
CUST_000071,Term,2022-06-08,700000,161.0,Quarterly,Manual,1
CUST_000072,Term,2023-05-09,100000,27.67,Annual,Manual,2
CUST_000073,Whole,2022-08-18,450000,96.0,Annual,AutoPay,0
CUST_000074,Universal,2022-04-21,150000,41.5,Annual,AutoPay,1
CUST_000075,Whole,2022-12-25,300000,45.0,Quarterly,Manual,1
CUST_000076,Term,2023-07-24,650000,160.33,Monthly,AutoPay,0
CUST_000077,Whole,2023-01-12,150000,33.0,Quarterly,Manual,0
CUST_000078,Universal,2022-04-28,100000,20.33,Monthly,AutoPay,1
CUST_000079,Term,2022-10-13,300000,66.0,Monthly,AutoPay,0
CUST_000080,Term,2023-08-11,100000,15.0,Annual,AutoPay,2
CUST_000081,Term,2022-08-20,600000,124.0,Monthly,AutoPay,1
CUST_000082,Term,2023-03-16,550000,126.5,Monthly,AutoPay,0
CUST_000083,Whole,2023-07-29,350000,95.67,Monthly,AutoPay,1
CUST_000084,Whole,2023-09-29,1300000,251.33,Monthly,AutoPay,1
CUST_000085,Whole,2023-09-21,650000,119.17,Monthly,Manual,0
CUST_000086,Term,2023-07-25,600000,116.0,Monthly,AutoPay,0
CUST_000087,Term,2022-01-27,550000,137.5,Monthly,AutoPay,0
CUST_000088,Term,2023-09-16,100000,22.67,Monthly,AutoPay,0
CUST_000089,Term,2022-10-01,550000,106.33,Monthly,AutoPay,0
CUST_000090,Term,2022-01-30,300000,71.0,Monthly,AutoPay,0
CUST_000091,Term,2022-07-04,300000,66.0,Annual,AutoPay,1
CUST_000092,Whole,2022-10-07,1800000,456.0,Quarterly,AutoPay,1
CUST_000093,Term,2022-11-13,50000,9.33,Monthly,AutoPay,0
CUST_000094,Whole,2022-12-14,150000,30.5,Monthly,AutoPay,0
CUST_000095,Term,2022-12-26,100000,20.0,Quarterly,AutoPay,0
CUST_000096,Universal,2022-01-07,100000,15.67,Monthly,Manual,1
CUST_000097,Universal,2022-07-05,300000,68.0,Monthly,Manual,0
CUST_000098,Universal,2022-05-27,700000,158.67,Monthly,Manual,1
CUST_000099,Term,2023-08-03,350000,75.83,Quarterly,AutoPay,0
CUST_000100,Whole,2023-02-15,700000,144.67,Monthly,AutoPay,0
CUST_000101,Term,2022-03-13,600000,96.0,Monthly,AutoPay,0
CUST_000102,Whole,2022-05-26,100000,19.67,Monthly,Manual,0
CUST_000103,Term,2022-02-01,200000,40.0,Quarterly,Manual,0
CUST_000104,Term,2022-04-04,400000,73.33,Monthly,AutoPay,1
CUST_000105,Whole,2023-06-28,550000,115.5,Annual,AutoPay,1
CUST_000106,Term,2022-08-09,550000,126.5,Monthly,AutoPay,1
CUST_000107,Universal,2023-01-21,150000,43.5,Monthly,AutoPay,0
CUST_000108,Term,2023-03-06,200000,44.67,Monthly,AutoPay,0
CUST_000109,Term,2023-04-10,650000,147.33,Monthly,AutoPay,0
CUST_000110,Term,2022-12-16,650000,138.67,Monthly,Manual,0
CUST_000111,Term,2022-06-11,250000,37.5,Monthly,AutoPay,0
